Region,Subregion,State/Territory,Newspaper,Type,Format,Owner(s),President,Editor,Founded,Language,Headquarters,City,Country,Website,Political alignment,Circulation,Founder(s),Publisher,Launched,Ceased publication,Key people,Owner,Editor-in-chief,Managing editors,Campus editor,Sports editor,Photo editor,Staff writers,Sister newspapers,ISSN,General manager,Free online archives,Industry,Readership,Frequency,Founder,Year founded,Based in,Opinion editor
Oceania,Australia,,Fremantle Herald,Other,Other,Andrew Smith,,,1989,,corner of ,,,http://www.fremantleherald.com/,,,,,,,,,,,,,,,Melville City Herald,,,,,,,,,,
Oceania,Australia,,The Sunday Times,Other,Tabloid,Seven West Media,,Michael Beach,1897,,"50 Hasler Road, ",Perth,Australia,http://www.perthnow.com.au,,"184,486 (as of June 2016)",,,,,,,,,,,,,The West Australian,1442-9527,,,,"496,000",,,,,
Oceania,Australia,,The West Australian,Daily newspaper,Tabloid,Seven West Media,,Anthony De Ceglie,1833,,"50 Hasler Road,",,,http://www.thewest.com.au/,Centre-right,,,,,,,,,,,,,,,0312-6323,,,,,,,,,
Oceania,Australia,,Albany Advertiser,Biweekly newspaper,Other,Seven West Media,,,1888,,,Perth,Australia,,,,"Lancel Victor De Hamel, William Forster",,,,,,,,,,,,,,,,,,,,,,
Oceania,Australia,,The Bunbury Herald,Weekly newspaper,Other,,,,1892,,,Bunbury,Australia,,,,Stephen J Cusack,,,1929,,,,,,,,,,2200-4181,,,,,,,,,
Oceania,Australia,,Coolgardie Miner,Other,Other,,,John Drake (1894-),1894,,,,,,,,William Edward Clare,,,,,,,,,,,,,,,,,,,,,,
Oceania,Australia,,Geraldton Guardian,Other,Other,,,"H Allerton Cowper, R M Cochrane",1906,,,Geraldton,Australia,,,,"Edward Constantine, Frederick Gardner",,,,,,,,,,,,,1443-3346,,,,,,,,,
Oceania,Australia,,Gnowangerup Star,Other,Other,,,Margaret Walker,1915,English,,,Australia,,,,Augustine Walker,,,2003,,,,,,,,,,,,,,,,,,,
Oceania,Australia,,Great Southern Herald,Other,Other,,,,1901,,,Katanning,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,Australia,,Kalgoorlie Miner,Other,Other,Hocking & Co. Pty Ltd,,,1895,English,Kalgoorlie,,,https://www.kalminer.com.au,,,Sidney Hocking,,,,,,,,,,,,,1322-6681,,,,,,,,,
Oceania,Australia,,Adelaide Review,Other,Other,,,Amanda Pepe,,English,,,,http://www.adelaidereview.com.au,,"22,000 (2018)",,Opinion Media,,,,,,,,,,,,,,,,,Monthly,Christopher Pearson,1985.0,Adelaide,
Oceania,Australia,,The Border Watch,Other,Tabloid,Scott Group of Companies,,Brett Kennedy,1861,English,81 Commercial Street East,Mount Gambier,Australia,http://www.borderwatch.com.au/,,,A F Laurie,,,,,,,,,Trevor Jackson,,,,1329-5195,,,,,,,,,
Oceania,Australia,,The Recorder,Weekly newspaper,Other,Australian Community Media,,,1885,English,,Port Pirie,Australia,http://www.portpirierecorder.com.au,,,Alfred Edward South and Charles Meyrick,,,,,,,,,,,,,,,,,,,,,,
Oceania,Australia,,The Mercury,Daily newspaper,Tabloid,News Corp Australia,,Jenna Cairney,1854,,"Level 1, 2 Salamanca Square, ",,,http://www.themercury.com.au/,,"44,317 (Weekdays)",,,,,,,,,,,,,,1039-9992,,,,,,,,,
Oceania,Australia,,The Advocate,Daily newspaper,Tabloid,Australian Community Media,,Luke Sayer,1890,,"54 Mount St,",,,http://www.theadvocate.com.au/,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,Australia,,The Examiner,Daily newspaper,Tabloid,Australian Community Media,,Courtney Greisbach,1842,,"71-75 Paterson Street,",,,http://www.examiner.com.au,,,,,,,,,,Mark Baker,,,,,,,,,,,,,,,
Oceania,Australia,,Northern Territory News,Daily newspaper,Tabloid,News Corp Australia,,Matt Williams,1952,,Printers Place ,,,http://www.ntnews.com.au/,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,Australia,,Centralian Advocate,Other,Tabloid,News Corp Australia,,,1947,,Gap Road ,,,http://www.alicenow.com.au/,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,Australia,,The Canberra Times,Daily newspaper,Compact,Australian Community Media,,,1926,,"9 Pirie Street, ",,,http://www.canberratimes.com.au/,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,Australia,,The Good Neighbour,Monthly newspaper,Broadsheet,,,Australian Department of Immigration,1950,English,Canberra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,Fiji,,Fiji Focus,Other,Other,Government of Fiji,,,2009,English,Suva,,,http://www.fiji.gov.fj/index.php?option=com_docman&task=cat_view&gid=63&Itemid=158&limitstart=55,pro-government,,,Ministry of Information,,,,,,,,,,,,,,,,,,,,,
Oceania,Fiji,,Fiji Sun,Daily newspaper,Tabloid,Sun (Fiji) News Pte Limited,,,1999,English,"20 Gorrie Street, ",,,http://www.fijisun.com.fj/,,"Up to 30,000",,Peter Lomas,,,,,Nemani Delaibatiki,,,Leone Cabenatabua,,,,,,,,,,,,,
South America,Argentina,,Ámbito Financiero,Daily newspaper,Other,Editorial Amfin S.A.,,,1976,Spanish,Buenos Aires,,,http://www.ambito.com/,Liberal,"100,000",,Orlando Vignatti,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,Argentinisches Tageblatt,Daily newspaper,Broadsheet,,,,1878,,Buenos Aires,,,http://www.tageblatt.com.ar/,Centre,"15,000",,Roberto Alemann,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,Buenos Aires Herald,Daily newspaper,Other,Editorial Amfin S.A.,,Sebastián Lacunza,1876,English,SA The Buenos Aires Herald San Juan 141 1063 Buenos Aires Argentina,,,http://web.archive.org/web/20170201102216/http://www.buenosairesherald.com/,,"29,000",,,,2017,,,,,,,,,,,,,,,,,,,
South America,Argentina,,Clarín,Daily newspaper,Tabloid,Clarín Group,,Ricardo Kirschbaum,1945,,Buenos Aires,,,http://www.clarin.com/,Social liberalism,"270,444 (Print, 2012)",,,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,Crónica,Daily newspaper,Other,Alta Densidad S.R.L.,,,1963,Spanish,Buenos Aires,,,http://www.cronica.com.ar/,Populism,"58,432",,Héctor Ricardo García,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,Diario Democracia,Daily newspaper,Other,,,,1931,Spanish,Junin,,,http://www.diariodemocracia.com/index.asp,Radicalism,,,,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,Diario Norte,Daily newspaper,Other,,,,1968,,Carlos Pellegrini 744,,,http://www.diarionorte.com/,,"17,000",,Miguel Ángel Fernández,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,El Ancasti,Daily newspaper,Other,,,,1988,,Sarmiento 518,,,http://www.elancasti.com.ar/,,"10,000",,Daniel Libardi,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,El Cronista,Daily newspaper,Other,,,,,Spanish,Buenos Aires,,,http://www.cronista.com/,Economic liberalism,,Martin Giménez Antonio,,,,,,,,,,,,,0325-5212,,,,,,,,,
South America,Argentina,,El Día,Daily newspaper,Other,El Día S.A.I.C. y F.,,,1884,,La Plata,,,http://www.eldia.com./,Centre-right,,,Raúl Kraiselburd,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,El Litoral,Daily newspaper,Other,,,,1918,,"Santa Fe, Argentina",,,http://www.ellitoral.com/,,"20,000",,Nahuel Caputto,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,El Siglo,Daily newspaper,Other,,,Héctor Rafael Lafuente,1990,Spanish,Tucumán,,,http://www.elsigloweb.com/,,,,,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,El Tribuno,Daily newspaper,Tabloid,Horizontes S.A,,,1949,,Salta,,,http://www.eltribuno.info/,Peronist,"12,400",,Juan Carlos Romero,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,La Capital,Daily newspaper,Tabloid,Grupo América,,Editorial Diario LA CAPITAL S.A.,1867,,Rosario,,,http://www.lacapital.com.ar/,,"40,000",Ovidio Lagos,Orlando Vignatti,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,La Gaceta,Daily newspaper,Other,,,,1912,,Tucumán,,,http://www.lagaceta.com.ar/,,"46,000",,Alberto García Hamilton III,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,La Nación,Daily newspaper,Tabloid,"MNMS Holding (62%), Mitre Family (20%)",,Bartolomé Mitre (great grandson),1870,Spanish,Buenos Aires,,,https://www.lanacion.com.ar/,Liberal conservatism,"160,000",Bartolomé Mitre,,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,La Nueva Provincia,Triweekly newspaper,Other,,,,1898,,Bahía Blanca,,,http://www.lanueva.com/,,"16,000",,Gustavo Elias,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,La Prensa,Daily newspaper,Other,Multimedios La Capital,,,1869,,Buenos Aires,,,http://www.laprensa.com.ar/,Liberal conservatism,"100,000",,Máximo Gainza,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,La Razón,Daily newspaper,Tabloid,Clarín Group,,,1905,,Buenos Aires,,,http://www.larazon.com.ar/,Centre,"110,000",,,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,La Vanguardia,Other,Compact,,,,1894,,Buenos Aires,,,http://www.lavanguardiadigital.com.ar/,,"280,000 (1940s)",,Américo Schvartzman,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,La Voz del Interior,Daily newspaper,Other,Grupo Clarín,,Luis Eduardo Remonda,1904,,"Córdoba, Argentina",,,http://www.lavoz.com.ar/,Conservative,"65,000",,Osvaldo Salas,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,L'Italiano,Daily newspaper,Tabloid,Cooperativa Editoriale L'Italiano,,Salvatore Santangelo,,,"Avda. Córdoba 1237 Piso 5, (1055) C.A. Buenos Aires, Argentina",,,http://www.litaliano.it,,"10,000 Daily",Gian Luigi Ferretti,,,,,,,Tullio Zembo,,,,,,1971-7776,,,,,,,,,
South America,Argentina,,Los Andes,Daily newspaper,Broadsheet,Grupo Clarín,,Gerardo Heidel,1883,,Mendoza,,,http://www.losandes.com.ar/,Conservative,"30,000",,,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,MDZ Online,Daily newspaper,Online,Terranova Family,,,2007,,Mendoza,,,http://www.mdzol.com/,,,,,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,Misiones Online,Daily newspaper,Tabloid,Marcelo Almada,,Marcelo Almada,2000,Spanish,"Coronel López 2138, 6° Piso, ",,,http://www.misionesonline.net/,Centre,"10,000 (Monday-Sunday average)",,,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,Olé,Other,Other,Grupo Clarín,,,1996,Spanish,Buenos Aires,,,http://www.ole.com.ar/,,,,,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,Página/12,Daily newspaper,Tabloid,Grupo Octubre,,Horacio Verbitsky,1987,Spanish,Buenos Aires,,,http://www.pagina12.com.ar/,Kirchnerism,"51,000",Jorge Lanata,Editorial La Página S.A.,,,,,Víctor Santa María,,,,,,,0329-1332,,,,,,,,,
South America,Argentina,,Prensa Obrera,Weekly newspaper,Tabloid,Workers' Party,,,1982,Spanish,,Buenos Aires,Argentina,http://prensaobrera.com,Left wing,,,,,,,,,,,,,,,0329-8760,,yes,,,,,,,
South America,Argentina,,Diario Río Negro,Daily newspaper,Broadsheet,,,Italo Pisani,1912,Spanish,"General Roca, Río Negro",,,http://www.rionegro.com.ar/,Centre-right,45000 (Sundays),,,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,The Southern Cross,Monthly newspaper,Other,,,,1875,,Ríobamba 451 (4°C),,,https://web.archive.org/web/20111003182512/http://tsc.com.ar/wordpress/,,,,Dr. Guillermo MacLoughlin Bréard,,,,,,,,,,,,,,,,,,,,,
South America,Argentina,,Diario de Argentina,Online newspaper,Other,,,,,,,,,https://diariodeargentina.com,,,,,,,,,,,,,,,,,,,,,,,,,
South America,Bolivia,,Bolivia,Daily newspaper,Other,Government of Bolivia,,Jimena Mercado,2019,Spanish,La Paz,,,http://www.periodicobolivia.bo,,National,,,,,,,,,,,,,,,,,,,,,,,
South America,Bolivia,,El Deber,Daily newspaper,Tabloid,Grupo El Deber,,,1953,Spanish,"Av. El Trompillo 1144, Santa Cruz de la Sierra, Bolivia",,Bolivia,http://www.eldeber.com.bo,,,Lucas Saucedo Sevilla,,,,,,,,,,,,,,,,,,,,,,
South America,Bolivia,,El Diario,Daily newspaper,Tabloid,Antonio Carrasco G.,,José Ticona E.,1904,,La Paz,,,https://www.eldiario.net/,,,,,,,,,,,,,,,,,,,,,,,,,
South America,Bolivia,,Jornada,Daily newspaper,Tabloid,AURIOS,,,1964,Spanish,,La Paz,Bolivia,http://www.jornadanet.com/,,,,,,,,,,,,,,,,,,,,,,,,,
South America,Bolivia,,Página Siete,Daily newspaper,Tabloid,,,Isabel Mercado,2010,,"La Paz, Bolivia",,,http://www.paginasiete.bo,,,,Raúl Garáfulic,,,,,,,,,,,,,,,,,,,,,
South America,Bolivia,,La Razón,Other,Other,,,,1917,Spanish,,La Paz,Bolivia,http://www.la-razon.com,,,,,,,,,,,,,,,,,,,,,,,,,
South America,Bolivia,,Los Tiempos,Daily newspaper,Other,,,,1943,Spanish,Cochabamba,,,http://www.lostiempos.com,,National,Demetrio Canelas,,,,,,,,,,,,,,,,,,,,,,
South America,Bolivia,,Cambio,Daily newspaper,Other,Government of Bolivia,,Óscar Huaygua Delgado,2009,Spanish,La Paz,,,http://www.cambio.bo,,National,,,,17 November 2019,,,,,,,,,,,,,,,,,,,
South America,Bolivia,,Bandera Roja,Weekly newspaper,Other,,,,1926,Spanish language,La Paz,,,,Socialist,,Felipe Reque Lozano,,,1927,,,,,,,,,,,,,,,,,,,
South America,Brazil,,O Globo,Daily newspaper,Broadsheet,Grupo Globo,,Ascânio Seleme,1925,Portuguese,"Rua Irineu Marinho, 35, ",,Brazil,https://oglobo.globo.com/,Centre,"320,374 ",Irineu Marinho,Infoglobo,,,,,,,,,José Roberto Serra,,,,,,,,,,,,Aluízio Maranhão
South America,Brazil,,Folha de S.Paulo,Daily newspaper,Broadsheet,Grupo Folha,,Maria Cristina Frias,1921,,"Alameda Barão de Limeira, 425, ",,Brazil,https://www.folha.uol.com.br,Pluralism,"332,415 (Total, 2019)",Olival Costa,,,,,,,,,,,,,1414-5723,,,,,,,,,Sérgio Dávila
South America,Brazil,,O Estado de S. Paulo,Daily newspaper,Broadsheet,Grupo Estado,,João Caminoto,1875,Brazilian Portuguese,"Av. Eng. Caetano Álvares, 55",,Brazil,http://www.estadao.com.br/,Liberal,"250,045 ",José Maria Lisboa,,,,,,,,,,,,,1516-2931,,,,,,,,,Antônio Carlos Pereira
South America,Brazil,,Estado de Minas,Other,Broadsheet,Diários Associados,,Carlos Marcelo Carvalho,1928,,"Av. Getúlio Vargas, 291, Funcionários",,,http://www.em.com.br,Centre,83.787,,,,,,,,,,,,,,1809-9874,,,,,,,,,
South America,Brazil,,Gazeta do Povo,Other,Other,Grupo Paranaense de Comunicação,,3 February 1919,1919,,,,,https://www.gazetadopovo.com.br,Conservative,,Benjamin Lins and Oscar Joseph de Plácido e Silva,,,,,,,,,,,,,,,,,,,,,,
South America,Brazil,,Correio Braziliense,Daily newspaper,Other,Diários Associados,,Ana Dubeux,1960,,"SIG/Sul, Quadra 2, Lote 340, Setor de Indústrias Gráficas, ",,Brazil,http://www.correiobraziliense.com.br/,,,Assis Chateaubriand,,,,,,,,,,,,,,,,,,,,,,
South America,Brazil,,Zero Hora,Daily newspaper,Broadsheet,Grupo RBS,,Ricardo Stefanelli and Marta Gleich,1964,,"Avenida Ipiranga, 1075",,,https://gauchazh.clicrbs.com.br/,,201.178 ,,,,,,,,,,,,,,,,,,,,,,,
South America,Brazil,,Jornal A Tarde,Daily newspaper,Broadsheet,A TARDE group,,,1912,Portuguese,"Professor Milton Cayres de Brito street, 204, Caminho das Árvores, in Salvador, Brazil",Bahia,Brazil,http://atarde.uol.com.br,,,Ernesto Simões Filho,,,,,,,,,,,,,,,,,,,,,,
South America,Brazil,,Progresso,Other,Other,,,,1925,,,,,https://www.progresso.com/,,,,,,,,,,,,,,,,,,,Food processing,,,"Vincent Taormina, and Joseph Uddo",,,
South America,Brazil,,O Dia,Daily newspaper,Broadsheet,Grupo O Dia,,Francisco Alves Filho,1951,,"R. dos Inválidos, 198 - Centro,",,,http://odia.ig.com.br/,,,,,,,,,,,,,,,,,,,,,,,,,
South America,Brazil,,Jornal do Brasil,Daily newspaper,Other,Omar Resende Peres Filho,,Tales Faria,1891,,"Avenida Rio Branco, 53, ",,Brazil,http://www.jb.com.br/,,,Rodolfo Dantas,,,,,,,,,,Augusto Nunes,,,,,,,,,,,,
South America,Brazil,,Correio do Povo,Daily newspaper,Tabloid,Grupo Record,,Carlos Alberto Bastos Ribeiro,1895,,"Rua Caldas Júnior 219, ",,,http://www.correiodopovo.com.br,Claims impartiality,,,,,,,,,,,,,,,,,,,,,,,,
South America,Brazil,,Notícias do Dia,Daily newspaper,Tabloid,Mário José Gonzaga Petrelli,,,,,Florianópolis,,,http://www.ricsc.com.br/,,Santa Catarina,,Grupo RIC,,,,,,,,,,,,,,,,,,,,,
South America,Brazil,,Brasil de Fato,Weekly newspaper,Broadsheet,Sociedade Editorial Brasil de Fato,,Nilton Viana,2003,,São Paulo,,,http://www.brasildefato.com.br/,,"50,000",,,,,,,,,,,,8,,,,,,,,,,,
South America,Brazil,,Cruzeiro do Sul,Daily newspaper,Broadsheet,Fundação Ubaldino do Amaral,,Valdecir Rocha Pinto,1903,,Sorocaba,,,https://web.archive.org/web/20110429081519/http://portal.cruzeirodosul.inf.br/,,,,Tiberany Ferraz dos Santos,,,,,,,,,,,,,,,,,,,,,
South America,Brazil,,Valor Econômico,Other,Other,Grupo Globo,,Vera Brandimarte,2000,,São Paulo,,Brazil,http://www.valor.com.br,Liberal,"107,000",,,,,,,,,,,,,,,,,,,,,,,
South America,Brazil,,Lance!,Other,Tabloid,,,Walter de Mattos Júnior,1997,Portuguese,"Rua Santa Maria, 47, Bairro Cidade Nova, CEP: 20211210, ",,,http://www.lancenet.com.br/,,"80,238 (2012)",,Areté Editorial S/A,,,,,,,,,,,,,,,,,,,,,
South America,Brazil,,The Rio Times,Other,Other,,,Matthias Camenzind,2009,English,Rio de Janeiro,,,http://www.riotimesonline.com/,,1.7 Million Monthly Single Page Views (as per January 2020),,,,,,,,,,,,,,,,,,,,,,,
